Sample	posterior	likelihood	prior	treeLikelihood.H3N2_subsampled	structuredCoalescent.t:H3N2_subsampled	treeHeight.t:H3N2_subsampled	Ne.t:H3N2_subsampled.Australia	Ne.t:H3N2_subsampled.Hong_Kong	Ne.t:H3N2_subsampled.Japan	Ne.t:H3N2_subsampled.New_Zealand	Ne.t:H3N2_subsampled.USA	b_migration.t:H3N2_subsampled.Australia_to_Hong_Kong	b_migration.t:H3N2_subsampled.Australia_to_Japan	b_migration.t:H3N2_subsampled.Australia_to_New_Zealand	b_migration.t:H3N2_subsampled.Australia_to_USA	b_migration.t:H3N2_subsampled.Hong_Kong_to_Australia	b_migration.t:H3N2_subsampled.Hong_Kong_to_Japan	b_migration.t:H3N2_subsampled.Hong_Kong_to_New_Zealand	b_migration.t:H3N2_subsampled.Hong_Kong_to_USA	b_migration.t:H3N2_subsampled.Japan_to_Australia	b_migration.t:H3N2_subsampled.Japan_to_Hong_Kong	b_migration.t:H3N2_subsampled.Japan_to_New_Zealand	b_migration.t:H3N2_subsampled.Japan_to_USA	b_migration.t:H3N2_subsampled.New_Zealand_to_Australia	b_migration.t:H3N2_subsampled.New_Zealand_to_Hong_Kong	b_migration.t:H3N2_subsampled.New_Zealand_to_Japan	b_migration.t:H3N2_subsampled.New_Zealand_to_USA	b_migration.t:H3N2_subsampled.USA_to_Australia	b_migration.t:H3N2_subsampled.USA_to_Hong_Kong	b_migration.t:H3N2_subsampled.USA_to_Japan	b_migration.t:H3N2_subsampled.USA_to_New_Zealand	clockRate.c:H3N2_subsampled	gammaShape.s:H3N2_subsampled	kappa.s:H3N2_subsampled	freqParameter.s:H3N2_subsampled1	freqParameter.s:H3N2_subsampled2	freqParameter.s:H3N2_subsampled3	freqParameter.s:H3N2_subsampled4
0	-8564.596892442323	-7503.3853339971665	-1061.211558445157	-7503.3853339971665	-998.0116570647573	2.9808405999998318	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.005	1.0	2.0	0.25	0.25	0.25	0.25
50000	-6934.386702009513	-5990.786140574496	-943.6005614350165	-5990.786140574496	-922.9369545021888	4.7738954170543835	2.1772684294179037	1.3312658034213218	1.0687288125369763	0.6310656912249291	1.631677759899005	0.08181975556651969	0.12416369698525871	0.8571610640983643	0.6688880575853368	0.21056509347989394	0.24625243437723954	0.18768796981520372	0.36707994040227776	0.7731334372853625	1.0191236218994801	0.12373797798272729	0.9629828541375604	0.9461498365699554	0.12409072456851362	0.3849957664500123	0.399823816234772	0.883372875331091	0.09711854151215885	0.12520344401737193	0.1259594263984769	0.005	0.39730494612673134	8.967894811643843	0.3335490368930184	0.2053198430828411	0.23360184250236443	0.22752927752177587
100000	-6840.095263313442	-5923.034781984745	-917.0604813286968	-5923.034781984745	-904.2189869219479	4.774530730703161	2.18591312022056	1.2589925026178206	0.4200142020378578	0.7591822956340404	1.901621323725041	0.4870125886274111	0.17079158694403457	0.5599436256219278	0.5031126070289801	0.19243577185552888	0.06387912465437696	0.05220496023021753	0.22606750392818975	0.636051670980346	1.0142629793367812	0.49223753718611835	0.8075884816011366	0.6569705461837781	0.0011877566831238764	0.020287795679903933	0.49426285931381636	0.4466459405890903	0.025468436042468384	0.10021296076486036	0.015591068531468917	0.005	0.4619865799805387	7.2443396648104885	0.3599890870766495	0.19851077260266065	0.20551818673397124	0.23598195358671842
150000	-6819.616268247008	-5929.631432134775	-889.9848361122317	-5929.631432134775	-884.5866138401569	4.634185042288588	2.4871146357418135	1.5039700421936937	0.30056950066027754	0.717653719652433	1.7111621846332843	0.3523935274054766	0.6152128043571293	0.29977518121821184	0.2925173744590163	0.002844646913317776	0.0910696947782603	0.2592299510376619	0.39102784560855836	0.017184716678292425	0.8128050956613845	0.0974081817730869	0.8952868415132008	0.15515859077146296	1.757517621291778E-4	0.2508671388207069	0.17636308917462093	0.11853383257992377	0.1540320261978072	0.027176411133879474	0.14553401079535525	0.005	0.3759825026622484	7.076125769813901	0.33281984647009405	0.21172245169215664	0.21441288553722443	0.24104481630052466
200000	-6729.125598277233	-5893.641652590532	-835.4839456866999	-5893.641652590532	-828.5167308146781	4.3884973372659895	1.4585839852400313	1.1422290898955283	0.4236556765752252	0.5706877999685624	1.9724138393686674	0.411938206756401	0.11944637738283882	0.43316344971728066	1.3263692706642927	0.22446028716037308	0.196178937459658	0.01089140106255637	0.28984866572493057	0.034262745029842036	0.34031012180661796	0.5581759604186869	0.28309793274655676	0.15823727821865338	0.14451930668378793	0.24176510643722812	0.7932548695273048	0.05405226769195845	0.02632388115373568	0.06955038444138328	0.014549117568049233	0.005	0.3841555320962933	6.8847819362835665	0.32237632582717235	0.20644569466711826	0.20673261479490435	0.2644453647108048
250000	-6691.321207040869	-5872.73513268822	-818.5860743526489	-5872.73513268822	-804.4968028060574	5.059350020027059	1.2510289140786444	1.6052791964439148	0.1257853299461247	0.5085303330554909	2.4569313019538868	0.3231135073450789	0.1637038279126526	0.6091049371196234	1.0725823031738673	0.3515394393348836	0.5461749238343343	0.12469313784795441	0.06485526582524617	0.4060247145057831	0.4801070324779268	0.39247306012205907	1.1310754571737973	0.5806810879699948	0.0930246063337035	0.2459543925102885	0.539836290739558	0.1615864740301508	0.08217267843774786	0.19347626840137702	0.05093149230437045	0.005	0.4414435176090358	6.614410889488203	0.35845687913525276	0.21640010857419228	0.21007887298566585	0.21506413930488893
300000	-6707.944551129629	-5887.158720574541	-820.7858305550885	-5887.158720574541	-816.6378480693282	4.414418320329461	1.4834701523401068	1.8228956650058514	0.2804463626577445	0.6388458442802245	2.0026552204554786	0.12167610063928364	0.443425204315977	0.41387913128894877	0.3083799559420974	0.04894661952512849	0.3786539248581918	0.024615801686533993	0.3920909196932833	0.049766514756077594	0.23535385345559084	0.08951034131025826	0.5953578933865228	0.21460062349492434	0.060622282691520216	0.7990210749058388	0.18398049795867946	0.1632119447960291	0.016179557247083823	0.33481468305668044	0.036762124302477515	0.005	0.4669180585862499	7.030809951265813	0.34654862378446905	0.2219933399915523	0.18673232565671627	0.2447257105672622
350000	-6731.987659255418	-5879.687523101758	-852.3001361536595	-5879.687523101758	-846.6735824374288	4.982217606586338	1.6568298299394009	1.2452630642299005	0.36808136531523195	0.7351239295875394	1.8464914287672152	0.1486473437450596	0.1404814043726898	0.5151669423433993	0.8442338953417976	0.05815759834755789	0.10873580492900417	0.02441129624857902	0.4812374795443993	0.5413149587161853	0.9963563702559682	0.09960540947248375	0.13854371532308912	0.23486570114926292	0.06383047406702679	0.17344773271389072	0.511977076549066	0.07000739451847891	0.05329767743198526	0.05297122950755466	0.0274348588658733	0.005	0.3844208035479743	7.637773360537562	0.33926912734643855	0.20172494863718682	0.22297242413416818	0.23603349988220632
400000	-6675.680752541616	-5867.471589361142	-808.2091631804742	-5867.471589361142	-799.9291548865973	5.649091393456009	1.5763260942850115	1.009468368205603	0.342627242137537	0.6857173726211734	1.6606928362514854	0.2664394865590314	0.057414418008030765	0.2292977376145397	0.6218018722437973	0.006588069220712205	0.17772780546992087	0.02146132130988181	0.23019178553321842	0.9038630318159442	1.1888884751119833	0.07071275737565232	0.49698074096495687	0.8964890912147999	0.188693269567839	0.10616744379964567	0.26393870062013164	0.29809044357284187	0.017847031202747467	0.0571348656450423	0.010689318526938914	0.005	0.35394288612714775	7.144447629123423	0.35285568733505196	0.21776138204412218	0.2215037493954139	0.20787918122541182
450000	-6655.063210032218	-5866.142376051333	-788.9208339808852	-5866.142376051333	-779.1059814928965	4.890079153022449	1.3559558822018905	1.5552851054134929	0.3647550938486916	0.6581388225346364	1.7467311094727358	0.14927357870767932	0.022489654914898252	0.4880477356957682	0.8399096036461309	0.017159005546821624	0.10858560412131625	0.0449098343289279	0.4231061492928224	0.8237648522258527	0.5156434598848093	0.23379584075462964	0.1988711984030113	0.6795889237188347	0.16560516566392403	0.38913444555340476	1.0050400546042677	0.08518328878655715	0.02772880037375697	0.06604020511770524	0.10315954394678489	0.005	0.5127718886759643	6.759058512464144	0.325182481409135	0.22997156772990507	0.2161693936455854	0.2286765572153744
