median	states	lineages
757.30	2	200
1530.61	4	200
2872.24	6	200
4902.94	8	200
7900.44	10	200
1021.15	2	300
2200.68	4	300
4026.50	6	300
6521.74	8	300
13812.99	10	300
1358.59	2	400
2880.61	4	400
5518.22	6	400
8143.63	8	400
15986.06	10	400
2052.93	2	500
3724.51	4	500
7181.36	6	500
9960.95	8	500
16995.01	10	500
2397.03	2	600
4068.93	4	600
6990.49	6	600
11532.23	8	600
19186.87	10	600
2659.10	2	700
4950.69	4	700
9549.60	6	700
13345.95	8	700
22644.19	10	700
3370.59	2	800
6305.34	4	800
9461.31	6	800
18809.10	8	800
29975.30	10	800
3623.22	2	900
7212.76	4	900
11706.40	6	900
16831.07	8	900
33084.32	10	900
3780.95	2	1000
6439.35	4	1000
13075.37	6	1000
20967.89	8	1000
29701.11	10	1000
